date_collected,block,plot,treatment,crop,tare_bag_g,wet_biomass_bag_g,od_biomass_bag_g,od_biomass_calculated_g,dry biomass weighed separately ,include in analysis?,quadrat size (m2),quadrat sample number,notes
07Jul2023,1,A,SM,AS,14.27,NA,19.85,5.58,,Y,0.1,1,
07Jul2023,2,I,SM,AS,14.39,NA,15.44,1.05,,Y,0.1,1,
07Jul2023,1,B,BM,FC,14.27,NA,15.26,0.99,2.1,Y,0.1,1,
07Jul2023,2,G,SM,FC,14.43,NA,14.41,-0.02,,Y,0.1,1,
07Jul2023,2,B,SM,DB,15.12,NA,15.65,0.53,,Y,0.1,1,
07Jul2023,2,F,BM,AS,13.5,NA,18.55,5.05,,Y,0.1,1,
07Jul2023,2,C,CM,AS,14.35,NA,15.65,1.3,,Y,0.1,1,
07Jul2023,2,D,BM,FC,14.15,NA,15.66,1.51,,Y,0.1,1,
07Jul2023,2,A,CM,FC,13.7,NA,13.74,0.04,,Y,0.1,1,
07Jul2023,2,E,BM,DB,14.12,NA,25.46,11.34,,Y,0.1,1,
07Jul2023,3,I,CM,AS,13.7,NA,14.92,1.22,,Y,0.1,1,
07Jul2023,3,H,SM,FC,14.41,NA,16.06,1.65,,Y,0.1,1,
07Jul2023,3,G,CM,DB,13.98,NA,13.97,-0.01,,Y,0.1,1,there was only a single weed in this plot
07Jul2023,3,F,BM,AS,14.16,NA,18.45,4.29,,Y,0.1,1,
07Jul2023,3,E,BM,FC,15.09,NA,18.28,3.19,,Y,0.1,1,
07Jul2023,3,D,SM,DB,13.52,NA,15.21,1.69,,Y,0.1,1,
07Jul2023,3,C,SM,AS,15.17,NA,21.59,6.42,,Y,0.1,1,
07Jul2023,4,I,CM,AS,13.9,NA,13.86,-0.04,0.08,Y,0.1,1,
07Jul2023,3,A,BM,DB,14.62,NA,19.64,5.02,,Y,0.1,1,
07Jul2023,4,H,SM,DB,15.04,NA,14.88,-0.16,0.04,Y,0.1,1,
07Jul2023,4,G,CM,FC,14.41,NA,14.26,-0.15,0.04,Y,0.1,1,
07Jul2023,4,B,CM,DB,13.83,NA,16.51,2.68,,Y,0.1,1,
07Jul2023,4,C,BM,AS,14.43,NA,26.73,12.3,,Y,0.1,1,
07Jul2023,4,D,BM,FC,14.02,NA,15.81,1.79,,Y,0.1,1,
07Jul2023,4,F,SM,AS,14.29,NA,33.45,19.16,,Y,0.1,1,
07Jul2023,4,E,BM,DB,14.46,NA,20.53,6.07,,Y,0.1,1,
07Jul2023,4,A,SM,FC,14.04,NA,21.09,7.05,,Y,0.1,1,
07Jul2023,5,H,SM,AS,13.15,NA,22.89,9.74,,Y,0.1,1,
07Jul2023,5,I,BM,AS,14.19,NA,27.35,13.16,,Y,0.1,1,
07Jul2023,5,G,BM,AS,18.21,NA,19.93,1.72,,Y,0.1,1,
07Jul2023,5,F,CM,AS,14.04,NA,13.94,-0.1,0.04,Y,0.1,1,
07Jul2023,5,E,BM,AS,13.24,NA,26.53,13.29,,Y,0.1,1,
07Jul2023,5,D,SM,AS,15.48,NA,36.22,20.74,,Y,0.1,1,
07Jul2023,5,B,CM,AS,14.8,NA,16.62,1.82,,Y,0.1,1,
07Jul2023,5,A,CM,AS,13.61,NA,15.19,1.58,,Y,0.1,1,
07Jul2023,5,C,SM,AS,13.31,NA,26.09,12.78,,Y,0.1,1,
07Jul2023,3,B,CM,FC,NA,NA,NA,0,,Y,0.1,1,no weeds in this plot
07Jul2023,2,H,CM,DB,13.2,NA,16.47,3.27,,Y,0.1,1,
20Jul2023,4,A,SM,FC,14.27,18.7,14.88,0.61,,Y,0.1,1,
20Jul2023,4,F,SM,AS,14.64,22.72,15.41,0.77,,Y,0.1,1,
20Jul2023,4,H,SM,DB,15.04,25.57,16.72,1.68,,Y,0.1,1,
20Jul2023,1,B,BM,FC,13.79,27.79,15.49,1.7,,Y,0.1,1,
20Jul2023,1,C,CM,DB,14.07,19.82,14.15,0.08,,Y,0.1,1,
20Jul2023,1,D,CM,AS,14.06,14.36,13.41,-0.65,,Y,0.1,1,
20Jul2023,1,E,CM,FC,NA,NA,NA,0,,Y,0.1,1,no weeds in this plot
20Jul2023,3,C,SM,AS,15.36,19.61,16,0.64,,Y,0.1,1,
20Jul2023,3,D,SM,DB,13.62,16.23,13.92,0.3,,Y,0.1,1,
20Jul2023,1,G,BM,AS,14.51,71.28,20.44,5.93,,Y,0.1,1,
20Jul2023,3,H,SM,FC,14.55,16.82,14.73,0.18,,Y,0.1,1,
20Jul2023,1,I,BM,DB,14.69,15.79,14.26,-0.43,,Y,0.1,1,
20Jul2023,2,B,SM,DB,15.28,18.6,15.53,0.25,,Y,0.1,1,
20Jul2023,2,A,CM,FC,NA,NA,NA,0,,Y,0.1,1,no weeds in this plot
20Jul2023,2,G,SM,FC,14.57,19.19,14.8,0.23,,Y,0.1,1,
20Jul2023,2,C,CM,AS,NA,NA,NA,0,,Y,0.1,1,no weeds in this plot
20Jul2023,2,I,SM,AS,14.58,28.87,15.96,1.38,,Y,0.1,1,
20Jul2023,2,D,BM,FC,14.49,15.6,14.32,-0.17,,Y,0.1,1,
20Jul2023,1,A,SM,AS,14.6,18.23,14.78,0.18,,Y,0.1,1,
20Jul2023,2,E,BM,DB,14.29,16.49,14.35,0.06,,Y,0.1,1,
20Jul2023,1,F,SM,DB,13.87,14.71,13.4,-0.47,,Y,0.1,1,
20Jul2023,1,H,SM,FC,13.83,15.07,13.53,-0.3,,Y,0.1,1,
20Jul2023,2,F,BM,AS,13.66,57.07,21.65,7.99,,Y,0.1,1,
20Jul2023,2,H,CM,DB,13.33,14.98,13.08,-0.25,,Y,0.1,1,
20Jul2023,3,A,BM,DB,14.84,21.92,15.74,0.9,,Y,0.1,1,
20Jul2023,3,B,CM,FC,NA,NA,NA,0,,Y,0.1,1,no weeds in this plot
20Jul2023,3,E,BM,FC,15.25,18.45,15.74,0.49,,Y,0.1,1,
20Jul2023,3,F,BM,AS,14.33,16.03,14.4,0.07,,Y,0.1,1,
20Jul2023,3,G,CM,DB,14.13,16.27,14.15,0.02,,Y,0.1,1,
20Jul2023,3,I,CM,AS,NA,NA,NA,0,,Y,0.1,1,
21Jul2023,4,B,CM,DB,14.02,,13.93,-0.09,,Y,0.1,1,
21Jul2023,4,C,BM,AS,14.68,,22.56,7.88,,Y,0.1,1,
21Jul2023,5,C,SM,AS,13.49,,14.61,1.12,,Y,0.1,1,
21Jul2023,4,D,BM,FC,14.24,,14.99,0.75,,Y,0.1,1,
21Jul2023,4,E,BM,DB,14.7,,14.78,0.08,,Y,0.1,1,
21Jul2023,4,G,CM,FC,NA,NA,NA,0,,Y,0.1,1,no weeds in this plot
21Jul2023,4,I,CM,AS,14.05,,17.7,3.65,,Y,0.1,1,
21Jul2023,5,A,CM,AS,13.77,,13.8,0.03,,Y,0.1,1,
21Jul2023,5,B,CM,AS,NA,NA,NA,0,,Y,0.1,1,no weeds in this plot
21Jul2023,5,E,BM,AS,13.52,,14.48,0.96,,Y,0.1,1,
21Jul2023,5,F,CM,AS,14.18,,14.16,-0.02,,Y,0.1,1,
21Jul2023,5,G,BM,AS,14.21,,14.39,0.18,,Y,0.1,1,
21Jul2023,5,I,BM,AS,14.4,,17.31,2.91,,Y,0.1,1,
21Jul2023,5,D,SM,AS,15.75,,16.83,1.08,,Y,0.1,1,
21Jul2023,5,H,SM,AS,13.3,,14.09,0.79,,Y,0.1,1,
02Aug2023,1,B,BM,FC,13.79,15.12,13.47,-0.32,,Y,0.1,1,
02Aug2023,1,C,CM,DB,NA,NA,NA,0,,Y,0.1,1,no weeds in this plot
02Aug2023,1,D,CM,AS,NA,NA,NA,0,,Y,0.1,1,no weeds in this plot
02Aug2023,1,E,CM,FC,15.1,15.54,14.72,-0.38,,Y,0.1,1,
02Aug2023,1,A,SM,AS,14.6,17.92,14.55,-0.05,,Y,0.1,1,
02Aug2023,1,G,BM,AS,14.51,20.2,14.77,0.26,,Y,0.1,1,
02Aug2023,1,F,SM,DB,NA,NA,NA,0,,Y,0.1,1,no weeds in this plot
02Aug2023,1,I,BM,DB,14.69,15.22,14.42,-0.27,,Y,0.1,1,
02Aug2023,1,H,SM,FC,13.83,14.17,13.53,-0.3,,Y,0.1,1,
02Aug2023,2,A,CM,FC,NA,NA,NA,0,,Y,0.1,1,no weeds in this plot
02Aug2023,2,B,SM,DB,NA,NA,NA,0,,Y,0.1,1,no weeds in this plot
02Aug2023,2,C,CM,AS,14.5,15.57,14.17,-0.33,,Y,0.1,1,
02Aug2023,2,D,BM,FC,14.49,14.76,13.85,-0.64,,Y,0.1,1,
02Aug2023,2,G,SM,FC,14.57,17.23,14.45,-0.12,,Y,0.1,1,
02Aug2023,2,I,SM,AS,14.58,20.88,15.05,0.47,,Y,0.1,1,
02Aug2023,2,E,BM,DB,14.29,14.5,13.73,-0.56,,Y,0.1,1,
02Aug2023,2,H,CM,DB,13.33,17.36,13.34,0.01,,Y,0.1,1,
02Aug2023,2,F,BM,AS,13.66,19.44,14.5,0.84,,Y,0.1,1,
02Aug2023,3,A,BM,DB,13.87,16.05,14.51,0.64,,Y,0.1,1,
02Aug2023,3,B,CM,FC,13.45,13.73,12.94,-0.51,,Y,0.1,1,
02Aug2023,3,C,SM,AS,15.36,24.55,16.34,0.98,,Y,0.1,1,
02Aug2023,3,E,BM,FC,15.25,16.36,14.75,-0.5,,Y,0.1,1,
02Aug2023,3,D,SM,DB,13.62,14.83,13.22,-0.4,,Y,0.1,1,
02Aug2023,3,H,SM,FC,14.55,18.25,14.7,0.15,,Y,0.1,1,
02Aug2023,3,F,BM,AS,14.33,18.97,14.45,0.12,,Y,0.1,1,
02Aug2023,3,G,CM,DB,14.13,17.2,14.17,0.04,,Y,0.1,1,
02Aug2023,3,I,CM,AS,13.87,13.92,13.62,-0.25,,Y,0.1,1,
02Aug2023,4,B,CM,DB,14.02,14.32,13.45,-0.57,,Y,0.1,1,
02Aug2023,4,C,BM,AS,14.68,80.95,23.76,9.08,,Y,0.1,1,
02Aug2023,4,A,SM,FC,14.27,14.32,13.63,-0.64,,Y,0.1,1,
02Aug2023,4,F,SM,AS,14.64,20.4,14.66,0.02,,Y,0.1,1,
02Aug2023,4,H,SM,DB,15.16,17.03,14.67,-0.49,,Y,0.1,1,
02Aug2023,4,E,BM,DB,14.7,15.57,14.03,-0.67,,Y,0.1,1,
02Aug2023,4,D,BM,FC,14.24,16.53,13.92,-0.32,,Y,0.1,1,
02Aug2023,4,G,CM,FC,14.49,15.61,13.97,-0.52,,Y,0.1,1,
02Aug2023,4,I,CM,AS,14.05,14.07,13.58,-0.47,,Y,0.1,1,
02Aug2023,5,A,CM,AS,NA,NA,NA,0,,Y,0.1,1,no weeds in this plot
02Aug2023,5,B,CM,AS,NA,NA,NA,0,,Y,0.1,1,no weeds in this plot
02Aug2023,5,E,BM,AS,13.52,21.1,14.19,0.67,,Y,0.1,1,
02Aug2023,5,F,CM,AS,NA,NA,NA,0,,Y,0.1,1,no weeds in this plot
02Aug2023,5,G,BM,AS,14.43,31.38,16.76,2.33,,Y,0.1,1,
02Aug2023,5,I,BM,AS,14.4,27.89,16.06,1.66,,Y,0.1,1,
02Aug2023,5,C,SM,AS,13.49,17.47,13.97,0.48,,Y,0.1,1,
02Aug2023,5,D,SM,AS,15.75,19.34,15.58,-0.17,,Y,0.1,1,
02Aug2023,5,H,SM,AS,13.3,14.56,13,-0.3,,Y,0.1,1,
