date_collected,block,plot,treatment,crop,tare_bag_g,field_moist_soil_bag_g,od_soil_bag_g,od_soil_g,bulk_density
10/17/2024,2,B,SM ,FC,15.12,409.09,363.74,348.62,1.168096763
10/17/2024,2,C,CM,DB,14.35,396.02,340.77,326.42,1.093712769
10/17/2024,2,D,BM,AS,14.15,416.71,376.06,361.91,1.212626641
10/17/2024,2,E,BM,FC,14.12,420.42,377.77,363.65,1.218456738
10/17/2024,2,F,BM,DB,13.50,421.42,373.27,359.77,1.205456292
10/17/2024,2,G,SM ,AS,14.43,437.39,388.02,373.59,1.251762004
10/17/2024,2,H,CM,FC,13.20,433.13,391.07,377.87,1.266102702
10/17/2024,2,I,SM ,DB,14.39,406.52,348.27,333.88,1.118708472
10/17/2024,3,A,BM,FC,14.62,424.69,381.85,367.23,1.230451995
10/17/2024,3,B,CM,AS,13.35,380.12,339.47,326.12,1.09270758
10/17/2024,3,C,SM ,DB,15.17,418.24,368.91,353.74,1.185251991
10/17/2024,3,D,SM ,FC,13.52,401.08,359.63,346.11,1.159686681
10/17/2024,3,E,BM,AS,15.09,442.65,401.33,386.24,1.294147478
10/17/2024,3,F,BM,DB,14.16,437.05,394.24,380.08,1.273507595
10/17/2024,3,G,CM,FC,13.98,415.59,369.11,355.13,1.189909367
10/17/2024,3,H,SM ,AS,14.41,418.76,370.41,356,1.192824416
10/17/2024,3,I,CM,DB,13.70,387.77,344.87,331.17,1.109628263
10/17/2024,4,A,SM ,AS,14.04,434.87,390.81,376.77,1.262417009
10/17/2024,4,B,CM,FC,13.87,422.14,372.14,358.27,1.200430347
10/17/2024,4,C,BM,DB,14.43,422.69,374.88,360.45,1.207734721
10/17/2024,4,D,BM,AS,14.02,439.59,391.63,377.61,1.265231538
10/17/2024,4,E,BM,FC,14.46,395.76,356.55,342.09,1.146217147
10/17/2024,4,F,SM ,DB,14.29,423.75,368.40,354.11,1.186491724
10/17/2024,4,G,CM,AS,14.41,428.70,379.62,365.21,1.223683721
10/17/2024,4,H,SM ,FC,15.04,404.25,362.94,347.9,1.16568431
10/17/2024,4,I,CM,DB,13.90,413.25,360.80,346.90,1.162333679
